날짜,패션잡화
2019-01-01,61
2019-01-02,56
2019-01-03,55
2019-01-04,54
2019-01-05,61
2019-01-06,67
2019-01-07,58
2019-01-08,57
2019-01-09,58
2019-01-10,52
2019-01-11,46
2019-01-12,54
2019-01-13,61
2019-01-14,51
2019-01-15,50
2019-01-16,51
2019-01-17,50
2019-01-18,47
2019-01-19,56
2019-01-20,61
2019-01-21,54
2019-01-22,55
2019-01-23,54
2019-01-24,51
2019-01-25,48
2019-01-26,54
2019-01-27,60
2019-01-28,52
2019-01-29,49
2019-01-30,48
2019-01-31,46
2019-02-01,42
2019-02-02,49
2019-02-03,53
2019-02-04,42
2019-02-05,45
2019-02-06,66
2019-02-07,64
2019-02-08,61
2019-02-09,71
2019-02-10,79
2019-02-11,62
2019-02-12,60
2019-02-13,60
2019-02-14,57
2019-02-15,55
2019-02-16,64
2019-02-17,74
2019-02-18,61
2019-02-19,61
2019-02-20,59
2019-02-21,58
2019-02-22,56
2019-02-23,66
2019-02-24,77
2019-02-25,66
2019-02-26,63
2019-02-27,62
2019-02-28,56
2019-03-01,67
2019-03-02,71
2019-03-03,77
2019-03-04,56
2019-03-05,54
2019-03-06,55
2019-03-07,54
2019-03-08,52
2019-03-09,64
2019-03-10,74
2019-03-11,58
2019-03-12,54
2019-03-13,53
2019-03-14,52
2019-03-15,51
2019-03-16,60
2019-03-17,68
2019-03-18,57
2019-03-19,57
2019-03-20,59
2019-03-21,55
2019-03-22,53
2019-03-23,63
2019-03-24,68
2019-03-25,58
2019-03-26,58
2019-03-27,59
2019-03-28,54
2019-03-29,50
2019-03-30,60
2019-03-31,65
2019-04-01,56
2019-04-02,56
2019-04-03,56
2019-04-04,53
2019-04-05,51
2019-04-06,60
2019-04-07,68
2019-04-08,58
2019-04-09,58
2019-04-10,56
2019-04-11,56
2019-04-12,52
2019-04-13,60
2019-04-14,70
2019-04-15,58
2019-04-16,57
2019-04-17,59
2019-04-18,57
2019-04-19,50
2019-04-20,60
2019-04-21,66
2019-04-22,60
2019-04-23,60
2019-04-24,59
2019-04-25,58
2019-04-26,53
2019-04-27,60
2019-04-28,68
2019-04-29,62
2019-04-30,55
2019-05-01,66
2019-05-02,60
2019-05-03,53
2019-05-04,59
2019-05-05,62
2019-05-06,70
2019-05-07,62
2019-05-08,60
2019-05-09,61
2019-05-10,57
2019-05-11,65
2019-05-12,74
2019-05-13,65
2019-05-14,67
2019-05-15,70
2019-05-16,69
2019-05-17,63
2019-05-18,72
2019-05-19,79
2019-05-20,67
2019-05-21,67
2019-05-22,70
2019-05-23,67
2019-05-24,64
2019-05-25,71
2019-05-26,81
2019-05-27,71
2019-05-28,69
2019-05-29,71
2019-05-30,68
2019-05-31,60
2019-06-01,70
2019-06-02,78
2019-06-03,69
2019-06-04,71
2019-06-05,69
2019-06-06,80
2019-06-07,67
2019-06-08,73
2019-06-09,82
2019-06-10,70
2019-06-11,71
2019-06-12,71
2019-06-13,68
2019-06-14,63
2019-06-15,71
2019-06-16,80
2019-06-17,72
2019-06-18,73
2019-06-19,71
2019-06-20,68
2019-06-21,64
2019-06-22,71
2019-06-23,79
2019-06-24,73
2019-06-25,72
2019-06-26,76
2019-06-27,66
2019-06-28,63
2019-06-29,74
2019-06-30,80
2019-07-01,70
2019-07-02,71
2019-07-03,71
2019-07-04,69
2019-07-05,66
2019-07-06,72
2019-07-07,81
2019-07-08,75
2019-07-09,71
2019-07-10,72
2019-07-11,67
2019-07-12,64
2019-07-13,80
2019-07-14,91
2019-07-15,79
2019-07-16,75
2019-07-17,74
2019-07-18,74
2019-07-19,68
2019-07-20,77
2019-07-21,83
2019-07-22,74
2019-07-23,72
2019-07-24,72
2019-07-25,67
2019-07-26,66
2019-07-27,71
2019-07-28,81
2019-07-29,70
2019-07-30,69
2019-07-31,69
2019-08-01,69
2019-08-02,65
2019-08-03,68
2019-08-04,76
2019-08-05,67
2019-08-06,68
2019-08-07,69
2019-08-08,69
2019-08-09,64
2019-08-10,70
2019-08-11,77
2019-08-12,69
2019-08-13,68
2019-08-14,66
2019-08-15,79
2019-08-16,65
2019-08-17,72
2019-08-18,76
2019-08-19,67
2019-08-20,67
2019-08-21,69
2019-08-22,65
2019-08-23,61
2019-08-24,71
2019-08-25,78
2019-08-26,69
2019-08-27,71
2019-08-28,72
2019-08-29,70
2019-08-30,64
2019-08-31,74
2019-09-01,85
2019-09-02,75
2019-09-03,76
2019-09-04,73
2019-09-05,71
2019-09-06,65
2019-09-07,79
2019-09-08,82
2019-09-09,67
2019-09-10,65
2019-09-11,57
2019-09-12,55
2019-09-13,56
2019-09-14,77
2019-09-15,93
2019-09-16,84
2019-09-17,82
2019-09-18,79
2019-09-19,75
2019-09-20,70
2019-09-21,83
2019-09-22,94
2019-09-23,77
2019-09-24,76
2019-09-25,75
2019-09-26,73
2019-09-27,70
2019-09-28,79
2019-09-29,86
2019-09-30,74
2019-10-01,76
2019-10-02,78
2019-10-03,88
2019-10-04,74
2019-10-05,83
2019-10-06,91
2019-10-07,81
2019-10-08,72
2019-10-09,89
2019-10-10,76
2019-10-11,69
2019-10-12,79
2019-10-13,86
2019-10-14,74
2019-10-15,71
2019-10-16,72
2019-10-17,70
2019-10-18,66
2019-10-19,74
2019-10-20,83
2019-10-21,73
2019-10-22,74
2019-10-23,73
2019-10-24,71
2019-10-25,66
2019-10-26,75
2019-10-27,82
2019-10-28,75
2019-10-29,73
2019-10-30,70
2019-10-31,68
2019-11-01,65
2019-11-02,79
2019-11-03,87
2019-11-04,74
2019-11-05,74
2019-11-06,74
2019-11-07,73
2019-11-08,71
2019-11-09,78
2019-11-10,89
2019-11-11,77
2019-11-12,77
2019-11-13,78
2019-11-14,76
2019-11-15,74
2019-11-16,81
2019-11-17,96
2019-11-18,83
2019-11-19,86
2019-11-20,82
2019-11-21,77
2019-11-22,69
2019-11-23,78
2019-11-24,89
2019-11-25,81
2019-11-26,79
2019-11-27,81
2019-11-28,79
2019-11-29,72
2019-11-30,83
2019-12-01,100
2019-12-02,84
2019-12-03,87
2019-12-04,84
2019-12-05,85
2019-12-06,79
2019-12-07,86
2019-12-08,97
2019-12-09,85
2019-12-10,81
2019-12-11,80
2019-12-12,78
2019-12-13,72
2019-12-14,80
2019-12-15,90
2019-12-16,78
2019-12-17,80
2019-12-18,71
2019-12-19,66
2019-12-20,61
2019-12-21,70
2019-12-22,79
2019-12-23,66
2019-12-24,58
2019-12-25,79
2019-12-26,64
2019-12-27,60
2019-12-28,69
2019-12-29,76
2019-12-30,64
2019-12-31,57
2020-01-01,76
