날짜,화장품/미용
2019-06-30,63
2019-07-01,68
2019-07-02,67
2019-07-03,68
2019-07-04,63
2019-07-05,58
2019-07-06,62
2019-07-07,66
2019-07-08,68
2019-07-09,66
2019-07-10,66
2019-07-11,63
2019-07-12,56
2019-07-13,61
2019-07-14,66
2019-07-15,69
2019-07-16,66
2019-07-17,64
2019-07-18,63
2019-07-19,58
2019-07-20,59
2019-07-21,64
2019-07-22,64
2019-07-23,63
2019-07-24,62
2019-07-25,58
2019-07-26,54
2019-07-27,54
2019-07-28,60
2019-07-29,59
2019-07-30,60
2019-07-31,59
2019-08-01,60
2019-08-02,57
2019-08-03,54
2019-08-04,64
2019-08-05,63
2019-08-06,64
2019-08-07,70
2019-08-08,63
2019-08-09,61
2019-08-10,59
2019-08-11,64
2019-08-12,65
2019-08-13,66
2019-08-14,60
2019-08-15,66
2019-08-16,58
2019-08-17,58
2019-08-18,64
2019-08-19,64
2019-08-20,64
2019-08-21,66
2019-08-22,63
2019-08-23,57
2019-08-24,58
2019-08-25,66
2019-08-26,67
2019-08-27,67
2019-08-28,66
2019-08-29,64
2019-08-30,61
2019-08-31,60
2019-09-01,70
2019-09-02,71
2019-09-03,68
2019-09-04,65
2019-09-05,65
2019-09-06,54
2019-09-07,58
2019-09-08,61
2019-09-09,56
2019-09-10,49
2019-09-11,43
2019-09-12,40
2019-09-13,43
2019-09-14,55
2019-09-15,71
2019-09-16,75
2019-09-17,72
2019-09-18,71
2019-09-19,67
2019-09-20,61
2019-09-21,62
2019-09-22,71
2019-09-23,67
2019-09-24,65
2019-09-25,65
2019-09-26,62
2019-09-27,57
2019-09-28,60
2019-09-29,64
2019-09-30,66
2019-10-01,67
2019-10-02,63
2019-10-03,65
2019-10-04,58
2019-10-05,61
2019-10-06,66
2019-10-07,66
2019-10-08,61
2019-10-09,71
2019-10-10,67
2019-10-11,61
2019-10-12,63
2019-10-13,70
2019-10-14,68
2019-10-15,68
2019-10-16,67
2019-10-17,64
2019-10-18,59
2019-10-19,61
2019-10-20,67
2019-10-21,70
2019-10-22,69
2019-10-23,68
2019-10-24,63
2019-10-25,58
2019-10-26,58
2019-10-27,68
2019-10-28,69
2019-10-29,68
2019-10-30,68
2019-10-31,63
2019-11-01,65
2019-11-02,67
2019-11-03,74
2019-11-04,74
2019-11-05,74
2019-11-06,73
2019-11-07,68
2019-11-08,64
2019-11-09,64
2019-11-10,73
2019-11-11,75
2019-11-12,71
2019-11-13,67
2019-11-14,63
2019-11-15,58
2019-11-16,61
2019-11-17,72
2019-11-18,69
2019-11-19,70
2019-11-20,67
2019-11-21,65
2019-11-22,60
2019-11-23,60
2019-11-24,69
2019-11-25,69
2019-11-26,71
2019-11-27,70
2019-11-28,64
2019-11-29,60
2019-11-30,62
2019-12-01,77
2019-12-02,73
2019-12-03,74
2019-12-04,71
2019-12-05,73
2019-12-06,65
2019-12-07,67
2019-12-08,79
2019-12-09,76
2019-12-10,73
2019-12-11,77
2019-12-12,72
2019-12-13,64
2019-12-14,67
2019-12-15,78
2019-12-16,74
2019-12-17,74
2019-12-18,71
2019-12-19,67
2019-12-20,62
2019-12-21,65
2019-12-22,74
2019-12-23,69
2019-12-24,59
2019-12-25,71
2019-12-26,67
2019-12-27,61
2019-12-28,67
2019-12-29,73
2019-12-30,64
2019-12-31,57
2020-01-01,81
2020-01-02,82
2020-01-03,76
2020-01-04,84
2020-01-05,90
2020-01-06,85
2020-01-07,84
2020-01-08,82
2020-01-09,79
2020-01-10,72
2020-01-11,80
2020-01-12,87
2020-01-13,86
2020-01-14,85
2020-01-15,87
2020-01-16,86
2020-01-17,79
2020-01-18,78
2020-01-19,85
2020-01-20,79
2020-01-21,74
2020-01-22,70
2020-01-23,57
2020-01-24,52
2020-01-25,55
2020-01-26,73
2020-01-27,93
2020-01-28,93
2020-01-29,97
2020-01-30,90
2020-01-31,79
2020-02-01,93
2020-02-02,97
2020-02-03,90
2020-02-04,100
2020-02-05,93
2020-02-06,90
2020-02-07,80
2020-02-08,89
2020-02-09,96
2020-02-10,92
2020-02-11,94
2020-02-12,95
2020-02-13,85
2020-02-14,76
2020-02-15,82
2020-02-16,88
2020-02-17,87
2020-02-18,84
2020-02-19,83
2020-02-20,77
2020-02-21,68
2020-02-22,78
2020-02-23,83
2020-02-24,78
2020-02-25,83
2020-02-26,81
2020-02-27,77
2020-02-28,74
2020-02-29,80
2020-03-01,92
2020-03-02,83
2020-03-03,87
2020-03-04,87
2020-03-05,82
2020-03-06,79
2020-03-07,83
2020-03-08,85
2020-03-09,83
2020-03-10,89
2020-03-11,88
2020-03-12,83
2020-03-13,72
2020-03-14,78
2020-03-15,84
2020-03-16,81
2020-03-17,79
2020-03-18,77
2020-03-19,74
2020-03-20,68
2020-03-21,71
2020-03-22,79
2020-03-23,76
2020-03-24,75
2020-03-25,76
2020-03-26,72
2020-03-27,66
2020-03-28,69
2020-03-29,76
2020-03-30,73
2020-03-31,73
2020-04-01,79
2020-04-02,73
2020-04-03,69
2020-04-04,70
2020-04-05,78
2020-04-06,79
2020-04-07,77
2020-04-08,80
2020-04-09,73
2020-04-10,68
2020-04-11,75
2020-04-12,83
2020-04-13,77
2020-04-14,74
2020-04-15,80
2020-04-16,73
2020-04-17,72
2020-04-18,74
2020-04-19,86
2020-04-20,79
2020-04-21,78
2020-04-22,79
2020-04-23,80
2020-04-24,69
2020-04-25,75
2020-04-26,85
2020-04-27,79
2020-04-28,76
2020-04-29,69
2020-04-30,73
2020-05-01,73
2020-05-02,69
2020-05-03,76
2020-05-04,69
2020-05-05,84
2020-05-06,81
2020-05-07,74
2020-05-08,64
2020-05-09,72
2020-05-10,77
2020-05-11,76
2020-05-12,78
2020-05-13,78
2020-05-14,75
2020-05-15,71
2020-05-16,68
2020-05-17,75
2020-05-18,79
2020-05-19,77
2020-05-20,73
2020-05-21,71
2020-05-22,66
2020-05-23,68
2020-05-24,77
2020-05-25,75
2020-05-26,72
2020-05-27,72
2020-05-28,67
2020-05-29,65
2020-05-30,69
2020-05-31,79
2020-06-01,81
2020-06-02,77
2020-06-03,74
2020-06-04,75
2020-06-05,65
2020-06-06,71
2020-06-07,77
2020-06-08,73
2020-06-09,73
2020-06-10,73
2020-06-11,69
2020-06-12,64
2020-06-13,69
2020-06-14,76
2020-06-15,73
2020-06-16,73
2020-06-17,70
2020-06-18,67
2020-06-19,64
2020-06-20,67
2020-06-21,72
2020-06-22,73
2020-06-23,70
2020-06-24,70
2020-06-25,68
2020-06-26,60
2020-06-27,66
2020-06-28,72
2020-06-29,71
2020-06-30,70
